State Name,Year,Poverty Rate,All-Reported Spending per Child (2022 Dollars),State Spending per Child (2022 Dollars),Total All-Reported Spending (2022 Dollars),Total State Pre-K Spending (2022 Dollars),Number of 3-year-olds Enrolled in State Pre-K,Number of 4-year-olds Enrolled in State Pre-K,Percentage of 3-year-olds Enrolled in State Pre-K,Percentage of 4-year-olds Enrolled in State Pre-K,Total State Pre-K Enrollment,Assistant Teacher Degree Benchmark,Continuous Quality Improvement System Benchmark,Curriculum Supports Benchmark,Early Learning & Development Standards Benchmark,Maximum Class Size Benchmark,Meals Benchmark,Monitoring Benchmark,Screening & Referral Benchmark,Staff Professional Development Benchmark,Staff to Child Ratio Benchmark,Teacher Degree Benchmark,Teacher Specialized Training Benchmark,Quality Standards Met,3 Year Old Program,4 Year Old Program
Alabama,2002.0,14.5,,6908.472350518154,,5222805.096991724,0.0,756.0,0.0,0.012619981637592856,756.0,Yes,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,8,No,Yes
Alabama,2003.0,15.0,13249.343315344588,6642.057346002981,16694172.57733418,8368992.255963756,0.0,1260.0,0.0,0.021611608521148504,1260.0,Yes,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,8,No,Yes
Alabama,2004.0,16.9,9490.186749686893,6232.761417778121,8882814.797706932,5833864.687040321,0.0,936.0,0.0,0.016116534944986827,936.0,Yes,Yes,,No,Yes,Yes,,Yes,Yes,Yes,Yes,No,8,No,Yes
Alabama,2005.0,16.7,8891.990220602836,5652.8368249589885,8643014.494425956,5494557.393860137,0.0,972.0,0.0,0.016519655330648038,972.0,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,No,9,No,Yes
Alabama,2006.0,14.3,9308.869865752285,6671.687027565655,9550900.482261844,6845150.890282362,0.0,1026.0,0.0,0.017031024351376923,1026.0,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,10,No,Yes
Alabama,2007.0,14.5,10508.178184440883,7665.631096708385,11159685.231876219,8140900.224704305,0.0,1062.0,0.0,0.01776870566189265,1062.0,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,10,No,Yes
Alabama,2008.0,14.3,6335.854329597092,6335.854329597092,14350710.056537414,14350710.056537414,0.0,2265.0,0.0,0.03739042871056672,2265.0,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,10,No,Yes
Alabama,2009.0,16.6,7142.459418470475,7142.459418470475,24170082.672104087,24170082.672104087,0.0,3384.0,0.0,0.05524717560242931,3384.0,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,10,No,Yes
Alabama,2010.0,17.2,6311.304688903806,6311.304688903806,24424749.14605773,24424749.14605773,0.0,3870.0,0.0,0.06398174784247594,3870.0,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,10,No,Yes
Alabama,2011.0,15.4,7654.643505155374,6123.7148041243,29623470.364951298,23698776.29196104,0.0,3870.0,0.0,0.06366178647803915,3870.0,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,10,No,Yes
Alabama,2012.0,16.2,9450.46380229462,6415.915519556431,36913511.611762784,25060566.01938742,0.0,3906.0,0.0,0.06302846446782417,3906.0,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,10,No,Yes
Alabama,2013.0,18.5,9334.26121741646,6240.083627587576,36375615.96427195,24317605.896708786,0.0,3897.0,0.0,0.06236896435830546,3897.0,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,10,No,Yes
Alabama,2014.0,17.8,8043.530312082267,5300.007059562048,44279634.36801288,29176538.862889078,0.0,5505.0,0.0,0.09176988347475286,5505.0,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,10,No,Yes
Alabama,2015.0,16.3,8104.697181072931,6483.757677711149,58702321.68251124,46961856.859661855,0.0,7243.0,0.0,0.11987553996127175,7243.0,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,10,No,Yes
Alabama,2016.0,16.2,8911.754616224196,5237.944071102072,100667180.14486852,59167816.227169,0.0,11296.0,0.0,0.18931737811520605,11296.0,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,10,No,Yes
Alabama,2017.0,15.0,8462.398307727135,5561.9606455107605,118744373.05402716,78045431.777807,0.0,14032.0,0.0,0.23923347086302724,14032.0,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,10,No,Yes
Alabama,2018.0,16.0,8771.86006894822,5651.467927182723,140797125.96668786,90711711.69920988,0.0,16051.0,0.0,0.27622227193722143,16051.0,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,10,No,Yes
Alabama,2019.0,12.9,7689.290237436782,6287.669072415585,132409577.88866138,108273661.42699638,0.0,17220.0,0.0,0.2908783783783784,17220.0,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,10,No,Yes
Alabama,2020.0,14.9,9960.965016421706,6704.828461743982,203592163.97064322,137039988.92958525,0.0,20439.0,0.0,0.3389889541247885,20439.0,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,10,No,Yes
Alabama,2021.0,15.9,10536.079755224657,7297.8483022897935,199195123.85227737,137973120.00309083,0.0,18906.0,0.0,0.3139071528192867,18906.0,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,10,No,Yes
Alabama,2022.0,13.6,8861.529787137062,6952.581065682119,194413102,152532676,0.0,21939.0,0.0,0.3615762410178654,21939.0,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,10,No,Yes
Alaska,2002.0,8.8,,0,,0,0.0,0.0,0.0,0.0,0.0,No program,,,No program,No program,No program,No program,No program,No program,No program,No program,No program,0,No,No
Alaska,2003.0,9.6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,No program,,,No program,No program,No program,No program,No program,No program,No program,No program,No program,0,No,No
Alaska,2004.0,9.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,No program,No program,,No program,No program,No program,,No program,No program,No program,No program,No program,0,No,No
Alaska,2005.0,10.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,No program,No program,,No program,No program,No program,,No program,No program,No program,No program,No program,0,No,No
Alaska,2006.0,8.9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,No program,No program,,No program,No program,No program,,No program,No program,No program,No program,No program,0,No,No
Alaska,2007.0,7.6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,No program,No program,,No program,No program,No program,,No program,No program,No program,No program,No program,0,No,No
Alaska,2008.0,8.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,No program,No program,,No program,No program,No program,,No program,No program,No program,No program,No program,0,No,No
Alaska,2009.0,11.7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,No program,No program,,No program,No program,No program,,No program,No program,No program,No program,No program,0,No,No
Alaska,2010.0,12.5,11805.514864282633,11805.514864282633,2361102.9728565267,2361102.9728565267,0.0,200.0,0.0,0.019652156824211457,200.0,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,10,No,Yes
Alaska,2011.0,11.7,9237.597953478587,9237.597953478587,2290924.29246269,2290924.29246269,0.0,248.0,0.0,0.02364607170099161,248.0,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,10,No,Yes
Alaska,2012.0,10.0,10578.41833717082,10578.41833717082,2232046.269143043,2232046.269143043,0.0,211.0,0.0,0.019560582182256418,211.0,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,10,No,Yes
Alaska,2013.0,9.7,9232.151405450137,9232.151405450137,3185092.234880297,3185092.234880297,0.0,345.0,0.0,0.032063197026022304,345.0,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,10,No,Yes
Alaska,2014.0,11.9,7586.37864555523,7586.37864555523,2207636.185856572,2207636.185856572,0.0,291.0,0.0,0.02714299039268725,291.0,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,10,No,Yes
Alaska,2015.0,9.2,7622.995844342828,7622.995844342828,2431735.674345362,2431735.674345362,0.0,319.0,0.0,0.030741061963958757,319.0,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,10,No,Yes
Alaska,2016.0,12.6,7654.610060204721,7654.610060204721,2441820.609205306,2441820.609205306,0.0,319.0,0.0,0.028380782918149466,319.0,Yes,No,No,No,Yes,,,No,No,Yes,Yes,Yes,5,No,Yes
Alaska,2017.0,14.4,6763.79356161801,6763.79356161801,2421438.0950592477,2421438.0950592477,0.0,358.0,0.0,0.03526398739164697,358.0,Yes,No,Yes,Yes,Yes,,,No,No,Yes,No,No,5,No,Yes
Alaska,2018.0,13.1,11896.351844403793,11896.351844403793,3747350.8309871946,3747350.8309871946,0.0,315.0,0.0,0.02932141859815694,315.0,Yes,No,Yes,Yes,No,,,No,No,No,No,No,3,No,Yes
Alaska,2019.0,10.2,6229.858912132436,6229.858912132436,8123736.021420696,8123736.021420696,260.54330708661416,1043.456692913386,0.02462136714105218,0.09846717872165575,1304.0,No,No,No,No,No,,,No,No,No,No,No,0,Yes,Yes
Alaska,2020.0,13.4,5816.59585199151,5816.59585199151,8166500.576196081,8166500.576196081,280.5236220472441,1123.4763779527561,0.02669365515722182,0.10807853563759078,1404.0,No,No,No,Yes,No,,,No,No,No,Yes,No,2,Yes,Yes
Alaska,2021.0,11.4,4732.1415852631735,4732.1415852631735,3009642.0482273786,3009642.0482273786,116.0,520.0,0.011515933684106026,0.04946257015124132,636.0,No,No,No,Yes,No,,,No,No,No,Yes,No,2,Yes,Yes
Alaska,2022.0,9.6,5403.013223140496,5353.4264462809915,3268823,3238823,93.0,497.0,0.009557085602712978,0.04885961462839166,605.0,No,No,No,Yes,No,,,No,No,No,Yes,No,2,Yes,Yes
Arizona,2002.0,13.5,,4294.781519913278,,18368780.56066909,0.0,4277.0,0.0,0.05586468129571578,4277.0,No,,,Yes,Yes,No,No,No,No,No,No,Yes,3,No,Yes
Arizona,2003.0,13.5,4440.505168440928,4440.505168440928,18170547.14926028,18170547.14926028,0.0,4092.0,0.0,0.05057096247960848,4092.0,No,,,Yes,Yes,No,No,No,No,No,No,Yes,3,No,Yes
Arizona,2004.0,14.4,4313.958899422092,4313.958899422092,18688069.952296503,18688069.952296503,0.0,4332.0,0.0,0.052204092453785156,4332.0,No,Yes,,Yes,Yes,No,,No,No,No,No,No,3,No,Yes
Arizona,2005.0,15.2,3811.9569737503834,3811.9569737503834,19250382.717439435,19250382.717439435,0.0,5050.0,0.0,0.05835991309573337,5050.0,No,Yes,,Yes,Yes,No,,No,No,No,No,No,3,No,Yes
Arizona,2006.0,14.4,3633.0257549035487,3633.0257549035487,19396724.505430046,19396724.505430046,0.0,5339.0,0.0,0.05801432157254778,5339.0,No,Yes,,Yes,Yes,No,,No,No,No,No,No,3,No,Yes
Arizona,2007.0,14.3,3607.129086619481,3607.129086619481,18309787.243680485,18309787.243680485,0.0,5076.0,0.0,0.05451148005756137,5076.0,No,Yes,,Yes,Yes,No,,No,No,No,No,No,3,No,Yes
